Salutation,First Name,Last Name,Company,Title,Email,Phone,Mobile,Fax,Website,Lead Source,Industry,Lead Status,Rating,No. of Employees,Annual Revenue,Street,City,State/Province,Zip/Postal Code,Country,Product Interest,Current Generator(s),SIC Code,Primary,Number of Locations,Description
,Camille,Roux,Roux Energy SA,Purchasing Manager,camille.roux@rouxenergy.com,+507 452088285,,,,Web,,Open - Not Contacted,,,,,,,21000,France,,GC1000 series (old model),,,,Follow up after product demo webinar.
Mr.,Eva,Meijer,EMeijer Systems B.V.,IT Director,eva.meijer@emeijersystems.com,,,,,Web,,Open - Not Contacted,,,,70 Rua Augusta,Eindhoven,,5611,Netherlands,,,,No,10,
Ms.,Adam,Michaux,AMichaux Solutions SA,VP Sales,adam.michaux@amichauxsolutions.com,+944 725087236,,,https://www.amichauxsolutions.com,,Chemicals,Open - Not Contacted,,,,,Brussels,,1000,Belgium,,,,No,,Requested a quote via website contact form.
,Antoine,Lefebvre,Lefebvre Innovations SAS,,antoine.lefebvre@lefebvreinnovations.com,,,,https://www.lefebvreinnovations.com,,Not For Profit,Open - Not Contacted,,500,,139 Rue de la Paix,Paris,,75001,France,GC3000 series,,,No,5,
Ms.,,Moore,Moore Holdings LLC,CFO,contact@mooreholdings.com,,,+857 890092958,,Other,Electronics,Open - Not Contacted,,,5000000,,Chicago,,60601,United States,,,,,,
Prof.,Thomas,Garcia,Garcia Partners SAS,,thomas.garcia@garciapartners.com,+495 139051509,,,,Partner Referral,Other,Open - Not Contacted,,,,,Toulouse,,31000,France,,,,,,
Mr.,Noah,Renard,Renard Energy SA,Buyer,noah.renard@renardenergy.com,,+608 361534222,,,Other,Machinery,Open - Not Contacted,,,,,Liege,,4000,Belgium,,,,Yes,,
,Khalid,Al Falasi,KAl Falasi International FZE,Owner,khalid.alfalasi@kalfalasiinternational.com,,+927 912015146,,,,Other,Open - Not Contacted,Hot,2500,,202 Rue de la Paix,,,,United Arab Emirates,GC5000 series,,,Yes,,
Mr.,Jean,Petit,Petit Holdings SARL,,jean.petit@petitholdings.com,+448 895450709,,,,Other,,Open - Not Contacted,,,,199 Rue Victor Hugo,Nantes,,44000,France,GC1020 series,,,,,
Ms.,Antoine,Michel,AMichel Group SA,Procurement Director,antoine.michel@amichelgroup.com,+380 860814392,,,https://www.amichelgroup.com,,Apparel,Working - Contacted,Warm,12,,77 Industrial Ave,Grenoble,,38000,France,GC1000 series,,,,,
,Cristina,Alvarez,CAlvarez Innovations S.L.,,cristina.alvarez@calvarezinnovations.com,+361 790814633,,,https://www.calvarezinnovations.com,Web,,Open - Not Contacted,,,5000000,,Barcelona,,08001,Spain,GC5000 series,,,,,
Dr.,Michel,Roux,Roux Technologies SARL,Procurement Director,michel.roux@rouxtechnologies.com,+10 224425868,,,https://www.rouxtechnologies.com,,Banking,Open - Not Contacted,,,10000000,,Marseille,,13001,France,,,,Yes,1,Expressed interest during cold call.
Mrs.,Carlos,Pinto,CPinto Consulting S.A.,Operations Manager,carlos.pinto@cpintoconsulting.com,,+524 151594284,+850 354819596,https://www.cpintoconsulting.com,,Machinery,Open - Not Contacted,,,10000000,,Porto,,,Portugal,,,,,,
,Marie,Dubois,MDubois Industries SARL,Plant Manager,marie.dubois@mduboisindustries.com,+694 550122421,+315 355506952,,https://www.mduboisindustries.com,,,Open - Not Contacted,,,2500000,,Reims,,51100,France,GC3000 series,,1307,No,,
,Aurelie,Martin,AMartin Corp SARL,Procurement Director,aurelie.martin@amartincorp.com,+901 169637099,,,https://www.amartincorp.com,,,Open - Not Contacted,Hot,50,,124 Via Roma,Strasbourg,,67000,France,GC1000 series,,,,,
Mrs.,Daniel,Gallagher,Gallagher Power Ltd.,,daniel.gallagher@gallagherpower.com,+362 639607195,,+757 746560856,,Purchased List,Consulting,Open - Not Contacted,,,,53 Avenue Foch,Cork,,T12 X2AH,Ireland,,Other Corp X100,9667,No,,
Mr.,Laura,Rizzo,LRizzo Dynamics S.r.l.,Plant Manager,laura.rizzo@lrizzodynamics.com,+215 751352528,+173 810211873,,,Purchased List,,Working - Contacted,,25,,129 Main Street,Milan,,,Italy,GC1000 series,,,No,,
,Claire,Bernard,Bernard Holdings SA,VP Marketing,claire.bernard@bernardholdings.com,,,,,Phone Inquiry,,Open - Not Contacted,,250,,170 Industrial Ave,Grenoble,,38000,France,,None,,No,,
Mr.,Isabelle,Fournier,Fournier Logistics SA,CEO,,,,+867 593379472,https://www.fournierlogistics.com,Web,,Open - Not Contacted,,500,5000000,,Bordeaux,,,France,GC3000 series,In-house legacy unit,,,,
Mrs.,Mathieu,Roux,Roux Innovations SA,General Manager,mathieu.roux@rouxinnovations.com,+731 614086791,,,https://www.rouxinnovations.com,Partner Referral,Manufacturing,Open - Not Contacted,,,,91 Business Park Way,Nantes,,,France,GC3000 series,,2015,Yes,,
,Jacob,Williams,Williams Global PLC,COO,jacob.williams@williamsglobal.com,+833 212925970,,,,,Manufacturing,Open - Not Contacted,Warm,2500,,98 Hauptstrasse,Bristol,,BS1 1AA,United Kingdom,GC3000 series,,,,,
Mrs.,Michal,Wozniak,Wozniak Holdings Sp. z o.o.,Purchasing Manager,michal.wozniak@wozniakholdings.com,+353 150574135,,,,Phone Inquiry,Technology,Open - Not Contacted,Hot,250,,168 Boulevard Central,Wroclaw,,50-001,Poland,GC1000 series,,,,,
Mrs.,Mathieu,Thomas,MThomas Logistics SAS,,mathieu.thomas@mthomaslogistics.com,+982 855731485,+543 326022893,+945 384908485,,,Agriculture,Open - Not Contacted,Warm,,500000,107 Main Street,Bordeaux,,33000,France,,,,,2,
,Isabelle,Lefebvre,Lefebvre Holdings SARL,Sales Director,isabelle.lefebvre@lefebvreholdings.com,+591 449734257,,,,Phone Inquiry,,Open - Not Contacted,,,,107 Rue de la Paix,Dijon,,21000,France,,,,,,
,Jack,Thompson,JThompson Innovations PLC,,,,+530 417620167,,,Partner Referral,,Working - Contacted,Warm,,,189 Avenue Foch,Bristol,,,United Kingdom,,,,,,
,Valerie,Michel,Michel Partners SAS,Sales Director,valerie.michel@michelpartners.com,+448 243005188,,,,Phone Inquiry,Biotechnology,Working - Contacted,Warm,,,123 Rue de la Paix,Strasbourg,,67000,France,,,,,,Follow up after product demo webinar.
,Benjamin,Taylor,Taylor Systems Ltd.,Purchasing Manager,benjamin.taylor@taylorsystems.com,+303 569001888,+502 687671284,,,Phone Inquiry,Recreation,Open - Not Contacted,,250,,180 Rua Augusta,Vancouver,,V6B 1A1,Canada,,,,Yes,,
Mr.,Laura,Meyer,Meyer Industries AG,,laura.meyer@meyerindustries.com,,,,,Partner Referral,,Open - Not Contacted,,80,,221 Bahnhofstrasse,Bern,,3011,Switzerland,GC5000 series,,,,5,
Mr.,Jack,Roy,JRoy Services Ltd.,Head of Procurement,jack.roy@jroyservices.com,+887 672555645,,,https://www.jroyservices.com,Phone Inquiry,Engineering,Working - Contacted,,120,,,Toronto,,,Canada,,Other Corp X100,5504,,,
Mr.,Aurelie,Petit,APetit Systems SARL,VP Sales,aurelie.petit@apetitsystems.com,+448 979020020,+549 566694280,,https://www.apetitsystems.com,Web,,Open - Not Contacted,Cold,80,,148 Calle Mayor,Rennes,,35000,France,GC5000 series,None,,No,,Attended regional partner event.
Dr.,Ana,Lopez,ALopez International S.A.,,ana.lopez@alopezinternational.com,+827 654196006,,,,,,Open - Not Contacted,Hot,80,,,Valencia,,46001,Spain,,Competitor Y200,,,,
,Laurent,Robert,LRobert Innovations SAS,Buyer,,,,,,Purchased List,Apparel,Open - Not Contacted,,2500,5000000,,Nantes,,,France,,,,,,
Dr.,Celine,Lefebvre,CLefebvre Dynamics SARL,COO,celine.lefebvre@clefebvredynamics.com,+578 168355386,,,https://www.clefebvredynamics.com,Other,Other,Open - Not Contacted,Warm,,2500000,78 Industrial Ave,,,21000,France,GC1020 series,,,Yes,5,
Mrs.,,Leroy,Leroy Industries SAS,Buyer,,+855 885577947,,+285 359515955,,Phone Inquiry,Electronics,Open - Not Contacted,,,,,Marseille,,13001,France,,,,No,1,
Prof.,Laurent,Thomas,Thomas Enterprises SA,COO,,+981 663214873,,,,Web,,Open - Not Contacted,,120,,,Paris,,75001,France,,None,,,,
Prof.,Jonas,Hoffmann,Hoffmann Corp AG,CFO,jonas.hoffmann@hoffmanncorp.com,+378 719082067,,,https://www.hoffmanncorp.com,Web,,Open - Not Contacted,,,500000,187 Rua Augusta,,,10115,Germany,,,,No,,
Mr.,Antoine,Dubois,Dubois International SARL,,antoine.dubois@duboisinternational.com,+155 531827138,,,,,,Open - Not Contacted,,,,73 Station Road,Bordeaux,,33000,France,,,,Yes,,
Dr.,Julien,Durand,Durand Corp SAS,Sales Director,julien.durand@durandcorp.com,,,,,Web,,Open - Not Contacted,Cold,,250000,,Angers,,49000,France,,,,,2,
Ms.,Luca,Lombardi,Lombardi Power S.p.A.,CFO,luca.lombardi@lombardipower.com,+447 997470361,,,,,Insurance,Open - Not Contacted,,,250000,210 Boulevard Central,Rome,,00100,Italy,GC5000 series,,,Yes,,
Mrs.,Alina,Gerber,AGerber International GmbH,IT Director,alina.gerber@agerberinternational.com,,+968 467785785,,,Web,Energy,Open - Not Contacted,Warm,,,,Basel,,4001,Switzerland,GC5000 series,,,Yes,1,
Mr.,Jean,Laurent,JLaurent Industries SARL,Buyer,jean.laurent@jlaurentindustries.com,,+268 620017969,,https://www.jlaurentindustries.com,Web,,Open - Not Contacted,,,,190 Commerce Blvd,Rennes,,,France,,,,No,,Expressed interest during cold call.
Mr.,,Ruiz,MRuiz Solutions S.L.,Facilities Manager,,+63 714978636,,,,Other,,Open - Not Contacted,,,,,Valencia,,46001,Spain,,,,No,,Attended regional partner event.
Mrs.,Karim,Doukkali,KDoukkali International SA,Procurement Director,karim.doukkali@kdoukkaliinternational.com,,+149 554791430,,,Partner Referral,Retail,Closed - Converted,,,,207 High Street,,,,Morocco,GC5000 series,,,No,10,
Dr.,Antonio,Sanchez,ASanchez Consulting S.L.,Operations Manager,antonio.sanchez@asanchezconsulting.com,,,,https://www.asanchezconsulting.com,Purchased List,Consulting,Open - Not Contacted,,,,221 Via Roma,Seville,,41001,Spain,,,1129,No,,
Mr.,Laurent,Lefebvre,LLefebvre Global SA,,laurent.lefebvre@llefebvreglobal.com,+557 265798756,,,https://www.llefebvreglobal.com,Phone Inquiry,,Open - Not Contacted,,,,,Grenoble,,38000,France,GC1000 series,None,5219,No,,Inbound inquiry about maintenance contracts.
Mrs.,Marie,Fournier,Fournier Power SAS,,marie.fournier@fournierpower.com,,+728 269473277,,,,,Open - Not Contacted,,,,,Marseille,,,France,,GC500 series,,,,
Mr.,Manuel,Ribeiro,Ribeiro Dynamics S.A.,Owner,manuel.ribeiro@ribeirodynamics.com,+682 588594257,,,,Phone Inquiry,,Open - Not Contacted,Warm,,250000,,Porto,,,Portugal,GC5000 series,,,,,
,Mathieu,Moreau,Moreau Innovations SAS,,mathieu.moreau@moreauinnovations.com,+985 911316102,+371 651744156,,,Phone Inquiry,,Open - Not Contacted,,25,,143 Hauptstrasse,Montpellier,,34000,France,GC1020 series,GC800 series,3130,Yes,,
Mr.,Marie,Robert,Robert Innovations SAS,Sales Director,marie.robert@robertinnovations.com,,,,,,Food & Beverage,Open - Not Contacted,Warm,,,159 Church Road,Strasbourg,,67000,France,,GC800 series,7388,Yes,,
Mrs.,Valerie,Michel,Michel Services SA,,valerie.michel@michelservices.com,,,,,Web,Consulting,Open - Not Contacted,,2500,,73 Rua Augusta,Reims,,51100,France,GC1000 series,,8650,,,
Prof.,Camille,Durand,Durand Global SAS,CTO,camille.durand@durandglobal.com,,,,,,,Open - Not Contacted,,,,,Lille,,59000,France,,Other Corp X100,,Yes,20,
,Kenji,Kobayashi,Kobayashi Corp K.K.,Sales Director,kenji.kobayashi@kobayashicorp.com,,,,,Partner Referral,,Open - Not Contacted,Cold,,,,,,100-0001,Japan,GC5000 series,GC500 series,,No,20,
,Isabelle,David,IDavid Consulting SARL,Purchasing Manager,isabelle.david@idavidconsulting.com,,,,,Phone Inquiry,Shipping,Open - Not Contacted,Warm,,120000,,Dijon,,21000,France,GC5000 series,,4642,,10,
Dr.,Celine,Thomas,Thomas Dynamics SAS,Buyer,celine.thomas@thomasdynamics.com,,+894 675915047,,https://www.thomasdynamics.com,Web,,Open - Not Contacted,Warm,50,,49 High Street,Strasbourg,,67000,France,,,,,,
Mrs.,Pierre,Girard,Girard Enterprises SAS,Plant Manager,pierre.girard@girardenterprises.com,+474 828971196,+67 823656066,+209 177114266,,Partner Referral,,Open - Not Contacted,,,50000,82 Commerce Blvd,,,31000,France,,,,No,,
Prof.,Maria,Colombo,Colombo Partners S.r.l.,,maria.colombo@colombopartners.com,+843 664198613,,,,Other,,Open - Not Contacted,,50,,,Bologna,,40121,Italy,,,4077,No,20,
,Marie,Moreau,Moreau Corp SA,Supply Chain Manager,marie.moreau@moreaucorp.com,+162 834183667,,,,Purchased List,Biotechnology,Open - Not Contacted,,,,,Marseille,,13001,France,,,,No,,"Existing customer, expansion opportunity."
Mr.,Javier,Ruiz,JRuiz Logistics S.A.,Plant Manager,javier.ruiz@jruizlogistics.com,+869 468936139,,,https://www.jruizlogistics.com,,Hospitality,Open - Not Contacted,Warm,,,,Valencia,,,Spain,,,,No,,
Prof.,Marie,Leroy,Leroy Technologies SA,,marie.leroy@leroytechnologies.com,,,,,Phone Inquiry,,Working - Contacted,Hot,,50000,,Bordeaux,,33000,France,GC3000 series,,,,,Requested a quote via website contact form.
Mrs.,Cristina,Rodriguez,Rodriguez Industries S.L.,COO,cristina.rodriguez@rodriguezindustries.com,,,,https://www.rodriguezindustries.com,Partner Referral,,Open - Not Contacted,,,,,Malaga,,29001,Spain,,,,,,
Prof.,Sophie,Roux,Roux Solutions SAS,,sophie.roux@rouxsolutions.com,+499 883674105,+94 130772573,,,Purchased List,,Open - Not Contacted,,,120000,94 Rua Augusta,,,67000,France,,,8700,,,
Dr.,,Fournier,Fournier Industries SA,IT Director,contact@fournierindustries.com,+719 276506548,+898 323121267,,https://www.fournierindustries.com,,Education,Open - Not Contacted,,,120000,34 Boulevard Central,Nice,,06000,France,GC1020 series,,4491,,,
,Nina,Suter,Suter Technologies GmbH,,,,,,,,,Working - Contacted,,,,2 Zone Industrielle,Zurich,,8001,Switzerland,GC3000 series,,,,,Looking to replace aging equipment fleet.
Mr.,Jan,Zielinski,Zielinski Logistics Sp. z o.o.,Purchasing Manager,jan.zielinski@zielinskilogistics.com,,+96 755025369,,https://www.zielinskilogistics.com,Web,,Open - Not Contacted,,,10000000,102 Zone Industrielle,Krakow,,30-001,Poland,GC1000 series,,,,1,
Prof.,Anna,Steiner,Steiner Industries GmbH,,anna.steiner@steinerindustries.com,,,,,Web,Utilities,Working - Contacted,Hot,,250000,222 Rua Augusta,,,,Switzerland,GC1020 series,,,No,,
Ms.,Lucas,Lambert,Lambert Group SPRL,,lucas.lambert@lambertgroup.com,,+54 279180538,,,,,Open - Not Contacted,Hot,500,,,Bruges,,8000,Belgium,,,,,,
,Lucia,Garcia,LGarcia Corp S.L.,General Manager,lucia.garcia@lgarciacorp.com,,,,https://www.lgarciacorp.com,,Entertainment,Closed - Not Converted,,250,,109 High Street,Madrid,,28001,Spain,GC1020 series,,,No,,
,Kavita,Rao,KRao Logistics Ltd.,VP Sales,kavita.rao@kraologistics.com,+867 932509513,,,,Phone Inquiry,,Open - Not Contacted,,,250000,,Delhi,,,India,,,,Yes,,
,Camille,Dubois,Dubois Group SA,General Manager,camille.dubois@duboisgroup.com,,,,,Phone Inquiry,Food & Beverage,Open - Not Contacted,,,120000,106 Station Road,Marseille,,13001,France,GC1020 series,None,,Yes,,"Existing customer, expansion opportunity."
Mrs.,Aurelie,Michel,Michel Consulting SAS,Managing Director,aurelie.michel@michelconsulting.com,,,,,Partner Referral,,Working - Contacted,,,120000,,Montpellier,,,France,GC5000 series,,,,,Expressed interest during cold call.
Mr.,Gabriel,Maes,Maes Corp SPRL,IT Director,gabriel.maes@maescorp.com,+818 446728250,+387 460819173,,,Other,,Open - Not Contacted,,,2500000,,Bruges,,8000,Belgium,,GC1000 series (old model),,No,,"Met at trade show, interested in bulk pricing."
Mrs.,,Simon,NSimon Enterprises SARL,Buyer,contact@nsimonenterprises.com,,,,https://www.nsimonenterprises.com,,Agriculture,Open - Not Contacted,Warm,,2500000,,Montpellier,,34000,France,GC1000 series,,,No,20,
,Camille,David,David Partners SA,IT Director,,,,,,,Consulting,Open - Not Contacted,,,,,Toulouse,,31000,France,,,,,1,
,Lucas,Peters,LPeters Power N.V.,,lucas.peters@lpeterspower.com,+718 850979918,,,https://www.lpeterspower.com,Phone Inquiry,Transportation,Open - Not Contacted,,,,68 Rue Victor Hugo,Amsterdam,,,Netherlands,GC3000 series,,,Yes,,"Met at trade show, interested in bulk pricing."
Mr.,Charlotte,Thompson,Thompson Energy PLC,,charlotte.thompson@thompsonenergy.com,,,+365 381988124,,Phone Inquiry,Media,Open - Not Contacted,,250,,11 Calle Mayor,Birmingham,,B1 1AA,United Kingdom,,,,No,,Inbound inquiry about maintenance contracts.
Mrs.,Marie,Petit,MPetit Solutions SAS,Managing Director,marie.petit@mpetitsolutions.com,+600 838429808,,,,,Healthcare,Working - Contacted,,,,,Nice,,06000,France,,,,Yes,1,
Mr.,Julien,Durand,JDurand Group SAS,,,,,,https://www.jdurandgroup.com,,Telecommunications,Working - Contacted,,,,232 Market Street,Dijon,,21000,France,,,,,1,
,Lucia,Gutierrez,Gutierrez Technologies S.A.,Supply Chain Manager,,,,,https://www.gutierreztechnologies.com,Other,Chemicals,Open - Not Contacted,,,,,Seville,,41001,Spain,GC5000 series,,,Yes,,
Mrs.,Marie,Vincent,MVincent Power SAS,,marie.vincent@mvincentpower.com,,,,,Partner Referral,,Open - Not Contacted,,,,144 Business Park Way,Strasbourg,,67000,France,,,9236,Yes,,Requested a quote via website contact form.
,Laurent,Petit,Petit Logistics SAS,,laurent.petit@petitlogistics.com,,,,,,,Open - Not Contacted,,,2500000,95 Rue Victor Hugo,Montpellier,,34000,France,GC5000 series,,,No,,
,,Schmid,Schmid Dynamics GmbH,Procurement Director,contact@schmiddynamics.com,,,,,Other,,Open - Not Contacted,,,50000,92 Calle Mayor,Bern,,3011,Switzerland,GC1000 series,,,Yes,,
Prof.,Michel,Robert,MRobert Energy SAS,,michel.robert@mrobertenergy.com,+593 139601323,+777 823417244,,,,,Open - Not Contacted,Warm,,,,Angers,,49000,France,,,,,,
,Michel,Petit,MPetit Partners SAS,,michel.petit@mpetitpartners.com,+305 920770967,,,,Web,,Open - Not Contacted,,,,105 Calle Mayor,Angers,,49000,France,GC1000 series,,,No,,"Met at trade show, interested in bulk pricing."
Mrs.,Sophie,Leroy,Leroy Global SAS,,sophie.leroy@leroyglobal.com,,+592 947823677,,,Purchased List,,Open - Not Contacted,,500,1000000,210 Market Street,Bordeaux,,,France,,,,,,
Dr.,Alexandre,Thomas,AThomas Global SA,Operations Manager,alexandre.thomas@athomasglobal.com,+439 842232757,,,https://www.athomasglobal.com,Purchased List,Biotechnology,Open - Not Contacted,Cold,,,,Lyon,,69001,France,GC5000 series,,4105,No,,
Mrs.,Aurelie,Martin,AMartin Solutions SA,Facilities Manager,aurelie.martin@amartinsolutions.com,,+247 211400593,,,Other,,Open - Not Contacted,Warm,50,,,Paris,,75001,France,,Competitor Y200,,No,1,
,Sophie,Garcia,Garcia Power SAS,VP Sales,sophie.garcia@garciapower.com,+918 172456068,+429 692314272,,https://www.garciapower.com,Phone Inquiry,Banking,Open - Not Contacted,,,,55 Via Roma,,,31000,France,,,,No,,Looking to replace aging equipment fleet.
,Sophia,Wright,SWright Technologies PLC,Managing Director,,,,,https://www.swrighttechnologies.com,,Retail,Open - Not Contacted,,1000,,,Edinburgh,,EH1 1AA,United Kingdom,,,,No,,
Ms.,Nathalie,Thomas,Thomas Global SA,,nathalie.thomas@thomasglobal.com,+803 726149695,,,,Other,,Working - Contacted,,5,,241 Rue Victor Hugo,Paris,,75001,France,GC1020 series,,,,,
Mr.,Laurent,Fournier,Fournier Technologies SARL,CTO,laurent.fournier@fourniertechnologies.com,,,,https://www.fourniertechnologies.com,,,Open - Not Contacted,,,,127 Church Road,Paris,,75001,France,,,,No,1,"Existing customer, expansion opportunity."
Ms.,Laura,Gerber,LGerber Technologies AG,Facilities Manager,,+201 573097822,+834 376669489,,https://www.lgerbertechnologies.com,,,Working - Contacted,,12,,46 Avenue Foch,Lausanne,,1003,Switzerland,GC5000 series,,,,3,
,Isabelle,Durand,Durand International SAS,,isabelle.durand@durandinternational.com,+223 678405004,,,https://www.durandinternational.com,Other,Agriculture,Open - Not Contacted,,250,1000000,,Bordeaux,,33000,France,GC1020 series,,,No,,Expressed interest during cold call.
,Aurelie,Roux,Roux Services SA,General Manager,,+624 459388927,,,,Partner Referral,,Open - Not Contacted,Cold,,,127 Business Park Way,Bordeaux,,,France,GC5000 series,,,,3,
,Mathieu,Lefebvre,Lefebvre Dynamics SAS,,mathieu.lefebvre@lefebvredynamics.com,+348 587291103,+582 674162953,,https://www.lefebvredynamics.com,,,Open - Not Contacted,,80,,94 Rue Victor Hugo,Lille,,59000,France,,,,,3,
Dr.,,El Fassi,KEl Fassi Logistics SA,,contact@kelfassilogistics.com,,+572 997011596,,https://www.kelfassilogistics.com,Phone Inquiry,,Open - Not Contacted,,,,79 Main Street,,,10000,Morocco,GC1020 series,,,No,,
Ms.,Camille,Roux,Roux Technologies SAS,,camille.roux@rouxtechnologies.com,+892 586268059,,,https://www.rouxtechnologies.com,Partner Referral,,Open - Not Contacted,,1000,,121 Bahnhofstrasse,Nice,,06000,France,GC1020 series,,,No,3,
Prof.,,Jones,Jones Holdings Ltd.,COO,contact@jonesholdings.com,+603 899461018,,,https://www.jonesholdings.com,,Food & Beverage,Open - Not Contacted,,,,,Brisbane,,,Australia,GC5000 series,Competitor Y200,,No,,
Mrs.,Emilia,Schroder,Schroder Power GmbH,,emilia.schroder@schroderpower.com,+106 724358786,+666 250549608,,https://www.schroderpower.com,Other,Energy,Open - Not Contacted,,2500,,,Dusseldorf,,40213,Germany,GC1000 series,,,,20,
Ms.,Isabelle,Leroy,Leroy Dynamics SAS,General Manager,isabelle.leroy@leroydynamics.com,+688 113690590,+82 539984459,,,Phone Inquiry,,Open - Not Contacted,,,5000000,,Nantes,,44000,France,,,,No,5,
Mrs.,Nadia,Cherkaoui,NCherkaoui International SARL,,nadia.cherkaoui@ncherkaouiinternational.com,+510 451079324,,,,Web,,Open - Not Contacted,Warm,25,,196 Business Park Way,Casablanca,,20000,Morocco,GC3000 series,,2086,No,,
Mr.,Nathalie,Michel,Michel Energy SARL,,nathalie.michel@michelenergy.com,,+389 287523534,,https://www.michelenergy.com,Web,Biotechnology,Open - Not Contacted,,120,50000,,Strasbourg,,67000,France,GC1020 series,,,No,20,
Dr.,Claire,Robert,Robert Enterprises SAS,President,claire.robert@robertenterprises.com,+195 590096323,,,,,,Open - Not Contacted,,,,95 Bahnhofstrasse,Paris,,75001,France,GC3000 series,GC500 series,,,,Requested a quote via website contact form.
Dr.,Laurent,Bernard,Bernard Enterprises SA,Buyer,laurent.bernard@bernardenterprises.com,+714 316734269,,,,Phone Inquiry,Environmental,Open - Not Contacted,,120,,,,,33000,France,GC1000 series,,,,,
,Julien,Lefebvre,JLefebvre Solutions SA,,julien.lefebvre@jlefebvresolutions.com,,+127 292202870,,https://www.jlefebvresolutions.com,Other,Food & Beverage,Open - Not Contacted,,,,,Nantes,,44000,France,,,,No,,
,Nicolas,Durand,Durand Global SA,,nicolas.durand@durandglobal.com,+616 733608983,,,https://www.durandglobal.com,Phone Inquiry,Education,Open - Not Contacted,,25,,,Angers,,49000,France,GC1000 series,,,,1,
Ms.,Alexandre,Roux,ARoux Logistics SA,,alexandre.roux@arouxlogistics.com,+88 653081518,,,,Other,Apparel,Open - Not Contacted,,120,,,Lyon,,69001,France,GC3000 series,,,No,1,
Ms.,Valerie,Laurent,Laurent Technologies SAS,COO,valerie.laurent@laurenttechnologies.com,,+430 287255554,,https://www.laurenttechnologies.com,Partner Referral,,Working - Contacted,,,500000,54 Via Roma,Lille,,59000,France,GC3000 series,,,,,
,Maria,Ricci,MRicci Group S.p.A.,COO,maria.ricci@mriccigroup.com,,,,https://www.mriccigroup.com,,,Open - Not Contacted,,,,124 Calle Mayor,Naples,,80100,Italy,,,,Yes,,Follow up after product demo webinar.
,,Vincent,Vincent Enterprises SA,Head of Procurement,contact@vincententerprises.com,+20 382630931,,,,Phone Inquiry,,Open - Not Contacted,,,,,Strasbourg,,67000,France,GC1000 series,,,,,
Prof.,Laurent,Petit,Petit Services SA,,,,,,,,Hospitality,Open - Not Contacted,,,,144 Boulevard Central,,,75001,France,GC5000 series,,2417,,,
Mr.,Julien,Vincent,Vincent Solutions SARL,Managing Director,julien.vincent@vincentsolutions.com,,+22 331368924,,,Purchased List,Not For Profit,Open - Not Contacted,Warm,,,,Reims,,,France,GC1020 series,None,,,,
Ms.,Sandrine,David,SDavid Technologies SAS,Purchasing Manager,sandrine.david@sdavidtechnologies.com,+369 423787241,,,https://www.sdavidtechnologies.com,Web,Hospitality,Working - Contacted,,80,120000,,Paris,,,France,GC1020 series,,,No,,Inbound inquiry about maintenance contracts.
Prof.,Claire,Moreau,Moreau Enterprises SAS,Sales Director,claire.moreau@moreauenterprises.com,+863 446920106,,,,Phone Inquiry,Not For Profit,Open - Not Contacted,,5,,,Nice,,06000,France,GC5000 series,,,,5,"Met at trade show, interested in bulk pricing."
Mr.,,Girard,NGirard Partners SAS,,contact@ngirardpartners.com,,,,https://www.ngirardpartners.com,Purchased List,,Open - Not Contacted,,80,,,Dijon,,21000,France,GC1000 series,,,Yes,,
Dr.,Thomas,Roux,Roux Corp SA,,,+384 815486848,,,,,Finance,Open - Not Contacted,,500,120000,,Paris,,,France,GC1020 series,In-house legacy unit,,Yes,,Follow up after product demo webinar.
Ms.,Antoine,Laurent,ALaurent Systems SA,Sales Director,antoine.laurent@alaurentsystems.com,,+843 866016616,,,,Finance,Open - Not Contacted,,120,,20 Market Street,Grenoble,,38000,France,,,,Yes,20,
,Pierre,Leroy,PLeroy Power SAS,COO,pierre.leroy@pleroypower.com,+442 196331544,+84 299553480,,,,,Open - Not Contacted,,,50000,150 Rua Augusta,Marseille,,13001,France,,GC1000 series (old model),,No,,
,George,Wilson,Wilson Enterprises Ltd.,Buyer,george.wilson@wilsonenterprises.com,,,,,Other,,Open - Not Contacted,,,,45 Calle Mayor,Edinburgh,,EH1 1AA,United Kingdom,,None,4300,,,
Mrs.,Camille,Martin,Martin International SA,,camille.martin@martininternational.com,+205 935447599,,,https://www.martininternational.com,Web,Chemicals,Open - Not Contacted,Cold,,,216 Business Park Way,Angers,,,France,,,,Yes,,
Mr.,Camille,Robert,CRobert Holdings SA,Sales Director,camille.robert@crobertholdings.com,+62 276428759,+342 113489239,,https://www.crobertholdings.com,Phone Inquiry,,Open - Not Contacted,,12,5000000,131 Calle Mayor,,,35000,France,GC5000 series,GC1000 series (old model),,No,,
Ms.,Thomas,Walker,Walker Partners PLC,Supply Chain Manager,thomas.walker@walkerpartners.com,+435 466249702,,,,Phone Inquiry,,Open - Not Contacted,,,,,Leeds,,LS1 1BA,United Kingdom,,,,No,,
Dr.,Anna,Jacobs,AJacobs Partners SA,Procurement Director,anna.jacobs@ajacobspartners.com,,,,https://www.ajacobspartners.com,,Electronics,Open - Not Contacted,Hot,,,126 Market Street,Antwerp,,2000,Belgium,GC5000 series,,,Yes,2,
Mrs.,,Thomas,CThomas Global SARL,Supply Chain Manager,contact@cthomasglobal.com,+205 859798459,,,https://www.cthomasglobal.com,,,Open - Not Contacted,,2500,,221 Via Roma,Strasbourg,,,France,GC3000 series,,,Yes,3,
